Year,Month,Fatalities,SeriousInjuries
1994,1,28,203
1994,2,17,162
1994,3,28,206
1994,4,24,187
1994,5,15,194
1994,6,12,251
1994,7,30,282
1994,8,38,230
1994,9,34,207
1994,10,20,208
1994,11,22,234
1994,12,26,241
1995,1,21,203
1995,2,30,176
1995,3,22,236
1995,4,18,233
1995,5,28,275
1995,6,28,220
1995,7,38,306
1995,8,30,308
1995,9,22,259
1995,10,26,247
1995,11,20,262
1995,12,30,205
1996,1,26,220
1996,2,24,154
1996,3,27,203
1996,4,40,184
1996,5,26,268
1996,6,26,248
1996,7,28,247
1996,8,29,272
1996,9,39,270
1996,10,30,196
1996,11,27,262
1996,12,26,277
1997,1,31,233
1997,2,18,221
1997,3,19,275
1997,4,37,266
1997,5,32,250
1997,6,33,303
1997,7,29,248
1997,8,23,260
1997,9,27,237
1997,10,39,241
1997,11,28,178
1997,12,31,200
1998,1,27,207
1998,2,22,185
1998,3,40,169
1998,4,21,216
1998,5,28,220
1998,6,40,197
1998,7,30,255
1998,8,40,216
1998,9,26,206
1998,10,27,199
1998,11,35,238
1998,12,25,193
1999,1,33,188
1999,2,10,170
1999,3,38,197
1999,4,20,206
1999,5,29,186
1999,6,29,227
1999,7,30,218
1999,8,32,223
1999,9,37,248
1999,10,34,231
1999,11,32,145
1999,12,26,173
2000,1,17,178
2000,2,16,165
2000,3,32,170
2000,4,21,179
2000,5,35,213
2000,6,27,206
2000,7,34,187
2000,8,30,200
2000,9,20,218
2000,10,38,200
2000,11,29,185
2000,12,24,157
2001,1,15,175
2001,2,11,132
2001,3,34,152
2001,4,25,172
2001,5,24,194
2001,6,31,168
2001,7,33,236
2001,8,20,219
2001,9,29,171
2001,10,42,192
2001,11,23,199
2001,12,27,173
2002,1,37,180
2002,2,25,141
2002,3,27,178
2002,4,25,222
2002,5,33,179
2002,6,35,236
2002,7,23,216
2002,8,47,238
2002,9,29,211
2002,10,39,226
2002,11,26,180
2002,12,35,181
2003,1,33,163
2003,2,26,107
2003,3,22,128
2003,4,21,234
2003,5,39,181
2003,6,33,152
2003,7,30,169
2003,8,27,183
2003,9,22,184
2003,10,33,224
2003,11,43,170
2003,12,39,220
2004,1,27,224
2004,2,26,138
2004,3,31,214
2004,4,26,225
2004,5,36,225
2004,6,35,252
2004,7,39,239
2004,8,32,203
2004,9,33,206
2004,10,40,213
2004,11,36,192
2004,12,34,258
2005,1,12,197
2005,2,20,160
2005,3,38,269
2005,4,28,239
2005,5,46,197
2005,6,39,245
2005,7,40,200
2005,8,28,211
2005,9,38,253
2005,10,52,252
2005,11,26,217
2005,12,60,221
2006,1,37,227
2006,2,32,226
2006,3,36,222
2006,4,32,222
2006,5,36,210
2006,6,41,217
2006,7,35,231
2006,8,36,279
2006,9,38,246
2006,10,37,245
2006,11,33,246
2006,12,38,224
2007,1,31,219
2007,2,31,214
2007,3,42,266
2007,4,30,232
2007,5,49,231
2007,6,27,194
2007,7,39,280
2007,8,27,219
2007,9,23,202
2007,10,19,210
2007,11,28,231
2007,12,27,187
2008,1,24,191
2008,2,25,166
2008,3,32,178
2008,4,21,201
2008,5,31,207
2008,6,31,187
2008,7,26,194
2008,8,30,251
2008,9,25,168
2008,10,23,205
2008,11,26,211
2008,12,30,168
2009,1,17,172
2009,2,20,142
2009,3,15,182
2009,4,26,182
2009,5,18,174
2009,6,22,175
2009,7,20,161
2009,8,22,174
2009,9,30,203
2009,10,17,194
2009,11,22,132
2009,12,14,126
2010,1,21,171
2010,2,15,156
2010,3,8,176
2010,4,22,141
2010,5,16,155
2010,6,27,155
2010,7,34,188
2010,8,25,175
2010,9,20,184
2010,10,33,144
2010,11,17,140
2010,12,19,157
2011,1,17,120
2011,2,6,171
2011,3,23,153
2011,4,25,139
2011,5,23,160
2011,6,26,187
2011,7,30,156
2011,8,12,184
2011,9,22,150
2011,10,23,148
2011,11,20,145
2011,12,19,96
2012,1,22,130
2012,2,22,120
2012,3,18,120
2012,4,29,162
2012,5,24,113
2012,6,18,139
2012,7,20,145
2012,8,27,155
2012,9,26,121
2012,10,15,128
2012,11,19,132
2012,12,21,135
2013,1,22,114
2013,2,23,100
2013,3,25,164
2013,4,23,117
2013,5,19,149
2013,6,18,125
2013,7,23,135
2013,8,29,208
2013,9,19,161
2013,10,22,121
2013,11,25,127
2013,12,18,148
