Years,Employment,Population,GDP (Millions),GDP per Captia,Real GDP,Real GDP per Captia,Employment,Fuel Consumption in Gallons(Millions),VMT(Billions),Fatalities
1970,256145,488738,3262,6674,,,256145,337.189,3.46,257
1971,267191,520018,3611,6944,,,267191,357.477,3.623,269
1972,280037,546736,3990,7298,,,280037,395.619,3.889,259
1973,304048,568910,4530,7963,,,304048,422.255,4.281,267
1974,317204,596713,4966,8322,,,317204,418.361,4.195,216
1975,326497,619847,5529,8920,,,326497,447.272,4.439,221
1976,348995,646823,6263,9683,,,348995,463.045,4.89,218
1977,383713,678134,7416,10936,,,383713,493.73,5.298,251
1978,432318,719345,8932,12417,,,432318,557.441,5.75,305
1979,467774,765121,10295,13455,,,467774,549.573,5.89,354
1980,488628,810215,11633,14358,,,488628,549.548,6.107,346
1981,500187,847656,13203,15576,,,500187,556.342,6.515,294
1982,493889,881538,13885,15751,,,493889,547.107,6.413,280
1983,498533,901978,15060,16697,,,498533,548.785,6.872,253
1984,523336,924921,16514,17854,,,523336,556.998,7.332,249
1985,545389,951032,17945,18869,,,545389,581.379,7.566,259
1986,570484,980614,19731,20121,29144,28478,570484,610.681,7.986,233
1987,615830,1023374,21951,21450,31701,29489,615830,663.576,8.396,262
1988,661700,1075023,24987,23243,34125,30003,661700,699.91,8.989,286
1989,709928,1137382,27847,24483,36891,30221,709928,739.985,9.392,308
1990,755587,1220695,30980,25379,37713,29096,755587,759.189,10.205,343
1991,768885,1296171,32786,25295,40564,30017,768885,781.618,10.51,298
1992,776291,1351367,36052,26678,43994,31175,776291,823.989,10.897,254
1993,818727,1411215,40039,28372,48267,32193,818727,857.074,11.624,263
1994,898349,1499298,45173,30129,51081,32297,898349,896.749,13.019,294
1995,952615,1581578,49249,31139,55725,33442,952615,922.009,13.974,313
1996,1023515,1666320,54419,32658,59467,33710,1023515,1020.454,15.993,348
1997,1088804,1764104,59468,33710,84010,47622,1088804,1064.875,16.309,347
1998,1130651,1853191,63934,34499,88081,47529,1130651,1103.453,16.486,361
1999,1190463,1934718,70376,36375,94446,48817,1190463,1178.549,17.39,350
2000,1253202,2018741,75777,37537,98568,48826,1253202,1195.2531,17.639,323
2001,1285122,2098399,80134,38188,100744,48010,1285122,1235.339,18.309,314
2002,1300981,2173791,84643,38938,104179,47925,1300981,1281.99,17.966,381
2003,1356312,2248850,90419,40207,109064,48498,1356312,1353.777,19.301,368
2004,1446547,2346222,103446,44090,120779,51478,1446547,1425.857,20.248,395
2005,1539022,2432143,116764,48009,130936,53836,1539022,1517.088,20.776,427
2006,1612948,2522658,125387,49704,135030,53527,1612948,1559.27,21.824,431
2007,1653194,2601072,131137,50417,136254,52384,1653194,1552.048,22.146,373
2008,1629162,2653630,128899,48575,131304,49481,1629162,1457.102,20.78,324
2009,1524073,2684665,119482,44505,119482,44505,1524073,1406.755,20.454,243
2010,1483883,2703493,119771,44302,118527,43842,1483883,1392.791,20.2014,257
2011,1508399,2718586,122744,45150,119308,43886,1508399,1371.562,24.1893,246
2012,1524035,2755245,125205,45442,119051,43209,1524035,1364.0541,24.1483,258
2013,1566463,2791494,126935,45472,118651,42505,1566463,1393.221,24.6494,262
2014,1614814,2839099,134052,47216,122695,43216,1614814,,25.4371,291
2015,,2891398,141282,48863,126156,43632,,,25.0788,321
